release_date,genre_ids,id,title,popularity,vote_count,vote_average
329,10/31/2006,99.0,22797,PEZheads - The Movie,1.00059,0,0.0
330,1/1/1990,,35,Christ - The Movie,1.000405,0,0.0
331,12/10/1993,,226,U.F.O. The Movie,1.000399,0,0.0
332,1/4/1997,10749.0,2631,T.G.I.S.: The Movie,1.00035,0,0.0
333,2/5/1969,,10073,Computer Movie No.2,1.000263,0,0.0
334,11/11/2011,18.0,416252,Sailor Moon the Movie,1.103659,0,0.0
335,1/1/2001,,11836,Friggin' Mafia Movie,1.000215,0,0.0
336,1/1/1981,,85420,Manne - the Movie,1.000199,0,0.0
337,12/31/1993,99.0,13805,Quicksand: The Movie,1.00015,1,9.0
338,1/1/1996,28.0,4258,R.I.O.T.: The Movie,1.000144,1,4.0
339,,,2355,Showdown - The Movie,1.0,0,0.0
340,,,4247,Showdown - The Movie,1.0,0,0.0
341,,,87818,DJ:RÖV The Movie,1.0,0,0.0
342,6/30/1995,28.0,5559,Mighty Morphin Power Rangers: The Movie,1.858924,108,5.3
343,8/30/2013,99.0,153518,American Made Movie,1.100121,1,6.5
344,4/15/1995,878.0,324849,Choriki Sentai Ohranger: The Movie,1.02679,0,0.0
345,4/9/1992,35.0,309810,German Fried Movie,1.1,2,1.0
346,6/6/1977,35.0,11918,A Movie and Breakfast,1.00675,0,0.0
347,9/27/2013,,137106,Molly & Wors The Movie,1.006668,0,0.0
348,8/28/2015,28.0,4257,Yowamushi Pedal: The Movie,1.006311,2,9.0
349,2/14/2014,35.0,22797,ゲームセンターCX: THE MOVIE,1.002505,0,0.0
350,2/2/2012,9648.0,35,Park Road - the Movie,1.001772,2,3.3
351,6/10/2010,99.0,226,Salewa Rockshow - The Movie,1.000836,0,0.0
352,5/31/2006,35.0,2631,Noo Hin - The Movie,1.000457,1,5.0
353,8/28/1986,35.0,10073,A King and His Movie,1.000332,2,2.0
354,5/9/1987,12.0,416252,Treasure Island: The Movie,1.000025,0,0.0
355,12/25/1988,10751.0,11836,Darfinkar & Donickar: The Movie,1.00001,2,7.0
356,1/1/1989,28.0,85420,Dog City: The Movie,1.088415,0,0.0
357,2/7/2008,35.0,13805,Dunia Baru The Movie,1.086845,0,0.0
358,10/4/2002,28.0,4258,Jonah: A VeggieTales Movie,1.085547,20,6.2
359,12/23/2015,35.0,2355,The PHD Movie 2,1.085249,0,0.0
360,12/7/2013,28.0,4247,Lupin the Third vs. Detective Conan: The Movie,1.828767,29,6.3
361,9/4/2003,,87818,Aku Kaya The Movie,1.084971,0,0.0
362,10/18/2016,35.0,5559,Undecided: The Movie,1.083917,0,0.0
363,2/21/2013,35.0,153518,The Hardy Bucks Movie,1.081802,3,5.2
364,4/28/2014,99.0,324849,Giuseppe Makes a Movie,1.081514,4,6.4
365,11/26/2011,35.0,309810,Kaibutsu-kun: The Movie,1.030041,0,0.0
366,8/21/2015,35.0,11918,The Bad Education Movie,1.080599,34,5.3
367,4/14/2016,35.0,137106,F#cking Telemarketers The Movie!,1.010719,0,0.0
368,9/18/2010,35.0,4257,FRED: The Movie,1.078548,21,3.7
369,2/2/1970,18.0,22797,The Movie Murderer,1.0785,1,7.5
370,7/24/2015,35.0,35,Smosh: The Movie,1.075899,74,5.2
371,6/3/2008,10751.0,226,Carsten & Gitte's Movie Madness,1.00641,0,0.0
372,12/31/2015,35.0,2631,Movie Mind Machine,1.074441,0,0.0
373,5/3/2014,12.0,10073,My Little Nightmare: The Movie,1.006167,0,0.0
374,9/12/2008,35.0,416252,Gym Teacher: The Movie,1.074119,2,3.0
375,1/21/2016,16.0,11836,The Tayo Movie: Mission Ace,1.005573,0,0.0
